Content,Created by
編集できます,水野響
つなぎ込みでコンフリクト(developmentの更新に追従していけない開発者が出るか？),水野響
Slack上での活発なやり取り,平田聖
"チーム全体のスキルアップ
(今回でいえばstorybook上での実装について触れること)",大野寛人
情報共有,FABIAN M. FERNANDEZ
チーム内の情報共有,Dai Miyahara
情報共有（各人の進捗把握など）,鈴木真希
コンフリクト解消が難しいと思ったら、相談してほしい(変わって作業しても良いです),水野響
レビューを通過できない,水野響
スキル差を吸収できない,水野響
人数多くてスキル感がバラバラなので進め方が難しい,中山建太
やり方何とか調べたが本当にこれで良いのかの不安,FABIAN M. FERNANDEZ
みな協調性があり話し合いに応じてくれる,中山建太
各自の作業時間が不規則（仕方ないが）,Dai Miyahara
"各自の理解度が不明瞭
なにか具体的なゴール・もしくは指標（内部的な）が必要？
でもまあ、完成の定義がそれか。",Dai Miyahara
レビュー修正も含めた場合にアウトプットが遅延する,Dai Miyahara
開発経験不足,大野寛人
わからないことはすぐに聞く。Slack等を活用して,Dai Miyahara
先のゴール（せめて１週先）を意識して動く,Dai Miyahara
間違ったやり方ですすめる,鈴木真希
タスクが増えてきた時にレビュー → 修正対応に思ったより時間を要する,平田聖
各自のスキルで作業でハマる場合に、突破するのが難しい。,中山建太
相談,FABIAN M. FERNANDEZ
documentの充実,水野響
認識ズレで、せっかく作ったものをやり直すことになる,FABIAN M. FERNANDEZ
"メンバー間の作業時間のばらつき
",大野寛人
ユーザーストーリーを管理しておらず、毎スプリント何を実現させるのかをステークホルダーに説明しにくい,水野響
やったことがない作業に対して時間がかかる,鈴木真希
土曜日時点での中間共有ここまでやっとくか。の気分になる(自分の中でのマイルストーン),平田聖
相談やslackの細かい活用,中山建太
slack上でのQA,大野寛人
コードフリーズ(そのsprintのPRの締切),水野響
スキル学習,FABIAN M. FERNANDEZ
slack上でQA投げるタイミングを見極める。自分で時間をかけすぎない。(かと言って あんまり調べないのもダメだとは思うけど),大野寛人
毎週リリース,水野響
1Q2QでのNotion設定などあるのでその進め方を踏襲でき開発にさける,中山建太
ショートコール(短時間のハドル) をうまく活用できたらいいなー,平田聖
chatGPTの活用,大野寛人
時間が合わなくて作業が進まない,水野響
"同期的な作業や黙々会？
モブプロ",中山建太
同期的な作業を増やそう(haddleに誘う),水野響
"slackでこまめに相談
質問前段階として、粗い感じでも良いからとりあえずtimesとかに書き出してみる",大野寛人
"そもそもSlackを見る頻度を増やす。
スマホとかにもアプリあるので。
自分宛の内容じゃなくても後々役に立つ可能性あるので。",Dai Miyahara
毎週のスケジュールの共有(プロフィールに書こう),水野響
個人の times 見聞き他の人のtimesを見逃すことはあっても自分のtimesに何かメッセージがあったら見る,平田聖
ゴールをデザインする。進捗がたくさんあっても、デモで良い評価を得なければ落ち込みます…　デモを意識して動く,FABIAN M. FERNANDEZ
似たタスクをやってる人がいれば、都合合えば同期的にやるのはありかも,大野寛人
ユーザーストーリーを書こう,水野響
ユーザーストーリの管理についてどうする？,中山建太
"火曜日に設定するスプリントゴールは必ず達成する意識でそのスプリントを過ごす。
（他の方のゴールを意識という点と類似）",Dai Miyahara
コードフリーズについてどうする,中山建太
"コードフリーズは良いと思う。
明示的な締め切りがあると人は頑張れる(コードフリーズないから惰性でやって良いという意味ではないです)",大野寛人
１週先のゴールの考え方,中山建太
同期的な作業会いいなと思いました（合わせられる範囲で）,鈴木真希
以下の内容を考慮して活用していく,中山建太
"普段のある程度のスケジュールを入れておくhttps://www.notion.so/Info-04237caed96c4fbeb9062ad8f29f39f0
モクモク会チャンネル
",中山建太
"コードフリーズ
PRの依存関係もあるため
日曜17:00-",中山建太
"見せれるものからやると良いのでは？
できているやつを使っていく
計画立てながら進めていきましょう",中山建太
